cycle_id,M_Conv1_Speed_mmps,M_Conv2_Speed_mmps,M_Conv3_Speed_mmps,M_Conv4_Speed_mmps,I_R01_Gripper_Pot,I_R01_Gripper_Load,I_R02_Gripper_Pot,I_R02_Gripper_Load,I_R03_Gripper_Pot,I_R03_Gripper_Load,I_R04_Gripper_Pot,I_R04_Gripper_Load,Q_Cell_CycleCount,milling_wear_max,milling_wear_mean,milling_wear_std
55,111.0,83.0,111.0,111.0,11235.0,361.0,11715.0,1314.0,2404.0,1382.0,13200.0,587.0,22.0,160,81.33998130258648,30.149190515897278
56,111.0,83.0,111.0,111.0,11246.0,459.0,11604.0,1308.0,2412.0,1375.0,13263.0,630.0,22.0,160,81.33998130258648,30.149190515897278
57,111.0,83.0,111.0,111.0,11194.0,372.0,11705.0,1279.0,2400.0,1371.0,13299.0,433.0,22.0,160,81.33998130258648,30.149190515897278
58,111.0,83.0,111.0,111.0,11195.0,369.0,11661.0,1336.0,2399.0,1377.0,13290.0,610.0,22.0,160,81.33998130258648,30.149190515897278
59,111.0,83.0,111.0,111.0,11233.0,334.0,11708.0,1313.0,2406.0,1354.0,13211.0,633.0,22.0,160,81.33998130258648,30.149190515897278
60,111.0,83.0,111.0,111.0,11169.0,452.0,11642.0,1308.0,2404.0,1362.0,13138.0,645.0,22.0,160,81.33998130258648,30.149190515897278
61,111.0,83.0,111.0,111.0,11231.0,353.0,11660.0,1302.0,2407.0,1355.0,13268.0,652.0,22.0,160,81.33998130258648,30.149190515897278
62,111.0,83.0,111.0,111.0,11184.0,471.0,11675.0,1310.0,2404.0,1385.0,13160.0,626.0,22.0,160,81.33998130258648,30.149190515897278
63,111.0,83.0,111.0,111.0,11257.0,368.0,11669.0,1313.0,2408.0,1358.0,13144.0,633.0,22.0,160,81.33998130258648,30.149190515897278
64,111.0,83.0,111.0,111.0,11548.0,415.0,11693.0,1313.0,2414.0,1367.0,13167.0,633.0,22.0,160,81.33998130258648,30.149190515897278
65,111.0,83.0,111.0,111.0,11201.0,464.0,11667.0,1319.0,2413.0,1386.0,13201.0,630.0,22.0,160,81.33998130258648,30.149190515897278
66,111.0,83.0,111.0,111.0,11208.0,446.0,11708.0,1321.0,2424.0,1355.0,13203.0,656.0,22.0,160,81.33998130258648,30.149190515897278
67,111.0,83.0,111.0,111.0,11278.0,465.0,11640.0,1295.0,2407.0,1378.0,13255.0,626.0,22.0,160,81.33998130258648,30.149190515897278
68,111.0,83.0,111.0,111.0,11243.0,417.0,11708.0,1297.0,2408.0,1365.0,13183.0,645.0,22.0,160,81.33998130258648,30.149190515897278
69,111.0,83.0,111.0,111.0,11256.0,481.0,11622.0,1333.0,2394.0,1371.0,13275.0,642.0,22.0,160,81.33998130258648,30.149190515897278
70,111.0,83.0,111.0,111.0,11260.0,455.0,11704.0,1289.0,2415.0,1385.0,12756.0,652.0,22.0,160,81.33998130258648,30.149190515897278
71,111.0,83.0,111.0,111.0,11245.0,431.0,11663.0,1316.0,2393.0,1369.0,8606.0,664.0,22.0,160,81.33998130258648,30.149190515897278
72,111.0,83.0,111.0,111.0,11177.0,431.0,11733.0,1325.0,2413.0,1365.0,8392.0,680.0,22.0,160,81.33998130258648,30.149190515897278
73,111.0,83.0,111.0,111.0,11191.0,445.0,11666.0,1322.0,2407.0,1362.0,13256.0,562.0,22.0,160,81.33998130258648,30.149190515897278
74,111.0,83.0,111.0,111.0,11176.0,469.0,11695.0,1304.0,2415.0,1367.0,13290.0,591.0,22.0,160,81.33998130258648,30.149190515897278
75,111.0,83.0,111.0,111.0,11289.0,430.0,11701.0,1311.0,2407.0,1377.0,12881.0,683.0,22.0,160,81.33998130258648,30.149190515897278
76,111.0,83.0,111.0,111.0,11297.0,469.0,11651.0,1320.0,2401.0,1377.0,13278.0,608.0,22.0,160,81.33998130258648,30.149190515897278
77,111.0,83.0,111.0,111.0,11266.0,471.0,11704.0,1303.0,2408.0,1381.0,13169.0,612.0,22.0,160,81.33998130258648,30.149190515897278
78,111.0,83.0,111.0,111.0,11291.0,451.0,11674.0,1306.0,2396.0,1379.0,13169.0,586.0,22.0,160,81.33998130258648,30.149190515897278
79,111.0,83.0,111.0,111.0,11189.0,457.0,11670.0,1292.0,2387.0,1362.0,13236.0,655.0,22.0,160,81.33998130258648,30.149190515897278
80,111.0,83.0,111.0,111.0,11197.0,437.0,11627.0,1307.0,2393.0,1380.0,13309.0,632.0,22.0,160,81.33998130258648,30.149190515897278
81,111.0,83.0,111.0,111.0,11193.0,425.0,11636.0,1317.0,2396.0,1365.0,13272.0,653.0,22.0,160,81.33998130258648,30.149190515897278
82,111.0,83.0,111.0,111.0,11181.0,476.0,11727.0,1328.0,2395.0,1355.0,13268.0,727.0,22.0,160,81.33998130258648,30.149190515897278
83,111.0,83.0,111.0,111.0,11216.0,470.0,11647.0,1291.0,2398.0,1384.0,13194.0,661.0,22.0,160,81.33998130258648,30.149190515897278
84,111.0,83.0,111.0,111.0,11236.0,491.0,11638.0,1330.0,2392.0,1377.0,13268.0,622.0,22.0,160,81.33998130258648,30.149190515897278
85,111.0,83.0,111.0,111.0,11284.0,451.0,11677.0,1328.0,2391.0,1368.0,13247.0,630.0,22.0,160,81.33998130258648,30.149190515897278
86,111.0,83.0,111.0,111.0,10797.0,417.0,11665.0,1312.0,2398.0,1368.0,13212.0,629.0,22.0,160,81.33998130258648,30.149190515897278
87,111.0,83.0,111.0,111.0,11209.0,442.0,11695.0,1296.0,2412.0,1381.0,13229.0,605.0,22.0,160,81.33998130258648,30.149190515897278
88,111.0,83.0,111.0,111.0,11254.0,440.0,11643.0,1317.0,2404.0,1367.0,13430.0,580.0,22.0,160,81.33998130258648,30.149190515897278
89,111.0,83.0,111.0,111.0,11210.0,438.0,11635.0,1319.0,2411.0,1364.0,13277.0,621.0,22.0,160,81.33998130258648,30.149190515897278
90,111.0,83.0,111.0,111.0,11196.0,471.0,11660.0,1315.0,2394.0,1393.0,13297.0,673.0,22.0,160,81.33998130258648,30.149190515897278
91,111.0,83.0,111.0,111.0,11222.0,449.0,11695.0,1304.0,2408.0,1376.0,13313.0,578.0,22.0,160,81.33998130258648,30.149190515897278
92,111.0,83.0,111.0,111.0,11239.0,460.0,11717.0,1306.0,2408.0,1374.0,13072.0,628.0,22.0,160,81.33998130258648,30.149190515897278
93,111.0,83.0,111.0,111.0,11169.0,352.0,11707.0,1336.0,2406.0,1375.0,13216.0,769.0,22.0,160,81.33998130258648,30.149190515897278
94,111.0,83.0,111.0,111.0,11233.0,434.0,11725.0,1325.0,2395.0,1375.0,13250.0,629.0,22.0,160,81.33998130258648,30.149190515897278
95,111.0,83.0,111.0,111.0,11319.0,426.0,11623.0,1301.0,2405.0,1380.0,8002.0,609.0,22.0,160,81.33998130258648,30.149190515897278
96,111.0,83.0,111.0,111.0,11260.0,426.0,11674.0,1311.0,2402.0,1381.0,8206.0,577.0,22.0,160,81.33998130258648,30.149190515897278
97,111.0,83.0,111.0,111.0,11041.0,459.0,11589.0,1325.0,2406.0,1377.0,8376.0,624.0,22.0,160,81.33998130258648,30.149190515897278
98,111.0,83.0,111.0,111.0,11144.0,464.0,11677.0,1321.0,2394.0,1381.0,8354.0,615.0,22.0,160,81.33998130258648,30.149190515897278
99,111.0,83.0,111.0,111.0,11239.0,476.0,11638.0,1323.0,2401.0,1362.0,8094.0,713.0,22.0,160,81.33998130258648,30.149190515897278
100,111.0,83.0,111.0,111.0,11194.0,413.0,11613.0,1301.0,2396.0,1364.0,8277.0,644.0,22.0,160,81.33998130258648,30.149190515897278
101,111.0,83.0,111.0,111.0,11178.0,469.0,11730.0,1313.0,2394.0,1370.0,8273.0,640.0,22.0,160,81.33998130258648,30.149190515897278
102,111.0,83.0,111.0,111.0,11157.0,414.0,11623.0,1309.0,2413.0,1379.0,8452.0,667.0,22.0,160,81.33998130258648,30.149190515897278
103,111.0,83.0,111.0,111.0,11112.0,453.0,11708.0,1327.0,2399.0,1371.0,8531.0,623.0,22.0,160,81.33998130258648,30.149190515897278
104,111.0,83.0,111.0,111.0,11214.0,433.0,11602.0,1312.0,2403.0,1349.0,8405.0,635.0,22.0,160,81.33998130258648,30.149190515897278
105,111.0,83.0,111.0,111.0,11259.0,432.0,11699.0,1332.0,2414.0,1391.0,13233.0,612.0,22.0,160,81.33998130258648,30.149190515897278
106,111.0,83.0,111.0,111.0,11038.0,456.0,11628.0,1318.0,2399.0,1371.0,13209.0,565.0,22.0,160,81.33998130258648,30.149190515897278
107,111.0,83.0,111.0,111.0,11196.0,486.0,11645.0,1292.0,2398.0,1376.0,13274.0,549.0,22.0,160,81.33998130258648,30.149190515897278
108,111.0,83.0,111.0,111.0,11233.0,424.0,11662.0,1287.0,2401.0,1379.0,13243.0,582.0,22.0,160,81.33998130258648,30.149190515897278
109,111.0,83.0,111.0,111.0,11231.0,439.0,11632.0,1293.0,2418.0,1363.0,13294.0,623.0,22.0,160,81.33998130258648,30.149190515897278
110,111.0,83.0,111.0,111.0,11535.0,411.0,11635.0,1314.0,2406.0,1375.0,13308.0,637.0,22.0,160,81.33998130258648,30.149190515897278
111,111.0,83.0,111.0,111.0,11257.0,447.0,11645.0,1315.0,2403.0,1371.0,13225.0,603.0,22.0,160,81.33998130258648,30.149190515897278
112,111.0,83.0,111.0,111.0,11263.0,450.0,11615.0,1326.0,2403.0,1385.0,13337.0,675.0,22.0,160,81.33998130258648,30.149190515897278
113,111.0,83.0,111.0,111.0,11541.0,461.0,11630.0,1320.0,2393.0,1374.0,13277.0,624.0,22.0,160,81.33998130258648,30.149190515897278
114,111.0,83.0,111.0,111.0,11200.0,425.0,11668.0,1297.0,2387.0,1371.0,13183.0,642.0,22.0,160,81.33998130258648,30.149190515897278
115,111.0,83.0,111.0,111.0,11251.0,469.0,11616.0,1311.0,2407.0,1371.0,8737.0,615.0,22.0,160,81.33998130258648,30.149190515897278
116,111.0,83.0,111.0,111.0,11241.0,379.0,11687.0,1315.0,2417.0,1376.0,8781.0,587.0,22.0,160,81.33998130258648,30.149190515897278
117,111.0,83.0,111.0,111.0,11255.0,456.0,11696.0,1301.0,2407.0,1386.0,8641.0,668.0,22.0,160,81.33998130258648,30.149190515897278
118,111.0,83.0,111.0,111.0,11244.0,431.0,11657.0,1307.0,2394.0,1375.0,8640.0,634.0,22.0,160,81.33998130258648,30.149190515897278
119,111.0,83.0,111.0,111.0,11351.0,433.0,11678.0,1328.0,2406.0,1358.0,8672.0,643.0,22.0,160,81.33998130258648,30.149190515897278
120,111.0,83.0,111.0,111.0,11187.0,456.0,11679.0,1301.0,2419.0,1364.0,8469.0,650.0,22.0,160,81.33998130258648,30.149190515897278
121,111.0,83.0,111.0,111.0,11204.0,462.0,11659.0,1313.0,2405.0,1397.0,13227.0,612.0,22.0,160,81.33998130258648,30.149190515897278
122,111.0,83.0,111.0,111.0,11189.0,371.0,11660.0,1337.0,2405.0,1371.0,13243.0,641.0,22.0,160,81.33998130258648,30.149190515897278
123,111.0,83.0,111.0,111.0,11204.0,455.0,11640.0,1321.0,2408.0,1381.0,13350.0,576.0,22.0,160,81.33998130258648,30.149190515897278
124,111.0,83.0,111.0,111.0,11176.0,436.0,11621.0,1314.0,2404.0,1367.0,13271.0,662.0,22.0,160,81.33998130258648,30.149190515897278
125,111.0,83.0,111.0,111.0,11282.0,430.0,11658.0,1315.0,2399.0,1377.0,8677.0,645.0,22.0,160,81.33998130258648,30.149190515897278
126,111.0,83.0,111.0,111.0,11188.0,362.0,11671.0,1323.0,2394.0,1370.0,8597.0,586.0,22.0,160,81.33998130258648,30.149190515897278
127,111.0,83.0,111.0,111.0,11221.0,458.0,11701.0,1318.0,2411.0,1373.0,7976.0,758.0,22.0,160,81.33998130258648,30.149190515897278
128,111.0,83.0,111.0,111.0,11247.0,479.0,11650.0,1299.0,2417.0,1367.0,8645.0,683.0,22.0,160,81.33998130258648,30.149190515897278
129,111.0,83.0,111.0,111.0,11241.0,452.0,11711.0,1302.0,2417.0,1377.0,8572.0,659.0,22.0,160,81.33998130258648,30.149190515897278
130,111.0,83.0,111.0,111.0,11201.0,442.0,11656.0,1299.0,2406.0,1378.0,8684.0,622.0,22.0,160,81.33998130258648,30.149190515897278
131,111.0,83.0,111.0,111.0,11013.0,455.0,11679.0,1326.0,2411.0,1377.0,8780.0,669.0,22.0,160,81.33998130258648,30.149190515897278
132,111.0,83.0,111.0,111.0,11173.0,468.0,11683.0,1313.0,2397.0,1381.0,8948.0,641.0,22.0,160,81.33998130258648,30.149190515897278
133,111.0,83.0,111.0,111.0,11250.0,294.0,11709.0,1302.0,2417.0,1377.0,8908.0,593.0,22.0,160,81.33998130258648,30.149190515897278
134,111.0,83.0,111.0,111.0,11184.0,429.0,11691.0,1310.0,2407.0,1378.0,13299.0,587.0,22.0,160,81.33998130258648,30.149190515897278
135,111.0,83.0,111.0,111.0,11261.0,429.0,11689.0,1325.0,2416.0,1347.0,13165.0,607.0,22.0,160,81.33998130258648,30.149190515897278
136,111.0,83.0,111.0,111.0,11159.0,482.0,11717.0,1310.0,2386.0,1382.0,13212.0,580.0,22.0,160,81.33998130258648,30.149190515897278
137,111.0,83.0,111.0,111.0,11209.0,450.0,11699.0,1318.0,2402.0,1365.0,13292.0,581.0,22.0,160,81.33998130258648,30.149190515897278
138,111.0,83.0,111.0,111.0,11290.0,463.0,11631.0,1333.0,2405.0,1389.0,13244.0,631.0,22.0,160,81.33998130258648,30.149190515897278
139,111.0,83.0,111.0,111.0,11160.0,440.0,11666.0,1306.0,2403.0,1371.0,13202.0,678.0,22.0,160,81.33998130258648,30.149190515897278
140,111.0,83.0,111.0,111.0,11217.0,475.0,11699.0,1332.0,2395.0,1360.0,13161.0,-1331.0,22.0,160,81.33998130258648,30.149190515897278
141,111.0,83.0,111.0,111.0,10915.0,449.0,11718.0,1308.0,2396.0,1377.0,13147.0,-1236.0,22.0,160,81.33998130258648,30.149190515897278
142,111.0,83.0,111.0,111.0,11223.0,471.0,11710.0,1324.0,2401.0,1375.0,11935.0,633.0,22.0,160,81.33998130258648,30.149190515897278
143,111.0,83.0,111.0,111.0,11272.0,498.0,11737.0,1320.0,2396.0,1372.0,12062.0,622.0,22.0,160,81.33998130258648,30.149190515897278
144,111.0,83.0,111.0,111.0,11172.0,500.0,11639.0,1336.0,2410.0,1385.0,12068.0,566.0,22.0,160,81.33998130258648,30.149190515897278
145,111.0,83.0,111.0,111.0,11221.0,448.0,11756.0,1304.0,2416.0,1369.0,11998.0,652.0,22.0,160,81.33998130258648,30.149190515897278
146,111.0,83.0,111.0,111.0,11199.0,455.0,11708.0,1313.0,2405.0,1381.0,11995.0,744.0,22.0,160,81.33998130258648,30.149190515897278
147,111.0,83.0,111.0,111.0,11193.0,449.0,11690.0,1299.0,2391.0,1369.0,12065.0,261.0,22.0,160,81.33998130258648,30.149190515897278
148,111.0,83.0,111.0,111.0,11274.0,467.0,11733.0,1321.0,2418.0,1382.0,11933.0,558.0,22.0,160,81.33998130258648,30.149190515897278
149,111.0,83.0,111.0,111.0,11269.0,446.0,11685.0,1309.0,2394.0,1357.0,12016.0,612.0,22.0,160,81.33998130258648,30.149190515897278
150,111.0,83.0,111.0,111.0,11201.0,388.0,11619.0,1312.0,2415.0,1361.0,13215.0,594.0,22.0,160,81.33998130258648,30.149190515897278
151,111.0,83.0,111.0,111.0,11226.0,432.0,11685.0,1299.0,2418.0,1384.0,13209.0,695.0,22.0,160,81.33998130258648,30.149190515897278
152,111.0,83.0,111.0,111.0,11148.0,471.0,11630.0,1316.0,2405.0,1365.0,13466.0,653.0,22.0,160,81.33998130258648,30.149190515897278
153,111.0,83.0,111.0,111.0,11170.0,438.0,11609.0,1324.0,2410.0,1373.0,13256.0,645.0,22.0,160,81.33998130258648,30.149190515897278
154,111.0,83.0,111.0,111.0,11269.0,405.0,11632.0,1302.0,2401.0,1368.0,13242.0,-658.0,22.0,160,81.33998130258648,30.149190515897278
155,111.0,83.0,111.0,111.0,11235.0,450.0,11709.0,1308.0,2403.0,1389.0,13208.0,645.0,22.0,160,81.33998130258648,30.149190515897278
156,111.0,83.0,111.0,111.0,11208.0,439.0,11625.0,1303.0,2385.0,1369.0,13159.0,485.0,22.0,160,81.33998130258648,30.149190515897278
157,111.0,83.0,111.0,111.0,11284.0,496.0,11645.0,1327.0,2403.0,1377.0,12202.0,596.0,22.0,160,81.33998130258648,30.149190515897278
158,111.0,83.0,111.0,111.0,11277.0,458.0,11684.0,1305.0,2398.0,1373.0,12135.0,583.0,22.0,160,81.33998130258648,30.149190515897278
159,111.0,83.0,111.0,111.0,10894.0,453.0,11663.0,1280.0,2404.0,1358.0,12092.0,541.0,22.0,160,81.33998130258648,30.149190515897278
160,111.0,83.0,111.0,111.0,11279.0,458.0,11682.0,1319.0,2402.0,1368.0,12118.0,582.0,22.0,160,81.33998130258648,30.149190515897278
161,111.0,83.0,111.0,111.0,11246.0,464.0,11703.0,1323.0,2388.0,1354.0,12034.0,615.0,22.0,160,81.33998130258648,30.149190515897278
162,111.0,83.0,111.0,111.0,11316.0,490.0,11726.0,1318.0,2415.0,1390.0,12364.0,-987.0,22.0,160,81.33998130258648,30.149190515897278
163,111.0,83.0,111.0,111.0,11267.0,375.0,11702.0,1297.0,2400.0,1376.0,12183.0,720.0,22.0,160,81.33998130258648,30.149190515897278
164,111.0,83.0,111.0,111.0,11235.0,444.0,11727.0,1310.0,2408.0,1357.0,12160.0,640.0,22.0,160,81.33998130258648,30.149190515897278
165,111.0,83.0,111.0,111.0,11196.0,474.0,11644.0,1306.0,2398.0,1375.0,12336.0,661.0,22.0,160,81.33998130258648,30.149190515897278
166,111.0,83.0,111.0,111.0,11313.0,465.0,11623.0,1314.0,2409.0,1371.0,12175.0,556.0,22.0,160,81.33998130258648,30.149190515897278
167,111.0,83.0,111.0,111.0,11226.0,384.0,11656.0,1290.0,2407.0,1374.0,13278.0,607.0,22.0,160,81.33998130258648,30.149190515897278
168,111.0,83.0,111.0,111.0,11223.0,464.0,11711.0,1291.0,2408.0,1388.0,13293.0,623.0,22.0,160,81.33998130258648,30.149190515897278
169,111.0,83.0,111.0,111.0,11282.0,459.0,11634.0,1294.0,2392.0,1364.0,13291.0,638.0,22.0,160,81.33998130258648,30.149190515897278
170,111.0,83.0,111.0,111.0,11231.0,434.0,11697.0,1304.0,2393.0,1389.0,13244.0,-1168.0,22.0,160,81.33998130258648,30.149190515897278
171,111.0,83.0,111.0,111.0,11251.0,440.0,11653.0,1328.0,2397.0,1381.0,13129.0,538.0,22.0,160,81.33998130258648,30.149190515897278
172,111.0,83.0,111.0,111.0,11147.0,462.0,11647.0,1306.0,2401.0,1388.0,13196.0,655.0,22.0,160,81.33998130258648,30.149190515897278
